created_at,user,location,coordinates,text,retweet_count,favorite_count,id,nama_kota,avg_word,word_count
2021-08-14 14:46:48,achmad_enjoy,"DKI Jakarta, Indonesia",,"['di', 'asifasafitri', 'di', 'tegalfes', 'di', 'byby', 'uni', 'yang', 'tidak', 'boleh', 'habis', 'vaksin', 'angkat', 'barbel']",0,0,ID3172,JAKARTA TIMUR,5.0,14
2021-08-14 14:46:44,dhianisasa,"Jakarta Barat, DKI Jakarta",,"['di', 'jaejieju', 'di', 'bertanyarl', 'bantu', 'jawab', 'iya', 'aku', 'pernah', 'konsul', 'sama', 'dokter', 'kata', 'vaksin', 'satu', 'dan', 'vaksin', 'harus', 'sama', 'cmiw']",0,0,ID3172,JAKARTA TIMUR,4.8,20
2021-08-14 14:46:17,ahmadafifn_,"Jakarta, Indonesia ",,"['waktu', 'berlalu', 'dulu', 'orang', 'orang', 'dapat', 'kabar', 'tentang', 'kerabat', 'yang', 'terinfeksi', 'covid', 'langsung', 'mendadak', 'panik', 'sekarang', 'tertawa', 'htps', 'atau', 'atau', 't', 'coatau', 'jtcmquetpe']",0,0,ID3172,JAKARTA TIMUR,5.826086956521739,23
2021-08-14 14:45:42,halodenn,"Bekasi, Jawa Barat",,"['di', 'bertanyarl', 'monmaf', 'iya', 'kak', 'orang', 'medis', 'tidak', 'sembarangan', 'kasih', 'vaksin', 'kalau', 'memang', 'benar', 'benar', 'keadan', 'tidak', 'mendukung', 'pasti', 'ibu', 'htps', 'atau', 'atau', 't', 'coatau', 'moeaokhwdi']",0,0,ID3172,JAKARTA TIMUR,5.346153846153846,26
2021-08-14 14:45:32,kompascom,Jakarta,,"['gubernur', 'dki', 'jakarta', 'anies', 'baswedan', 'menjabarkan', 'penurunan', 'signifikan', 'angka', 'kematian', 'pasien', 'covid', 'sembilan', 'belas', 'periode', 'juli', 'hai', 'htps', 'atau', 'atau', 't', 'coatau', 'xjgdmztujuh', 'ctujuh', 'ke']",0,4,ID3172,JAKARTA TIMUR,6.0,25
2021-08-14 14:45:03,AyoGerakBareng,"DKI Jakarta, Indonesia",,"['bagi', 'teman', 'teman', 'yang', 'membutuhkan', 'layanan', 'ambulance', 'medis', 'untuk', 'evakuasi', 'pasien', 'covidatau', 'non', 'covid', 'atau', 'layanan', 'ant', 'htps', 'atau', 'atau', 't', 'coatau', 'nol', 'uochxsatu', 'msembilan']",0,1,ID3172,JAKARTA TIMUR,5.6,25
2021-08-14 14:45:00,inewsdotid,"Jakarta, Indonesia",,"['ratusan', 'narapidana', 'penghuni', 'lembaga pemasyarakatan', 'slawi', 'positif', 'covid', 'sembilan', 'belas', 'tanpa', 'gejala', 'klinis', 'htps', 'atau', 'atau', 't', 'coatau', 'owizynvaoq']",0,0,ID3172,JAKARTA TIMUR,6.833333333333333,18
2021-08-14 14:45:00,GesuriID,"Jakarta, Indonesia",,"['boby', 'dukung', 'kebijakan', 'masuk', 'mal', 'tunjukan', 'sertifikat', 'vaksin', 'htps', 'atau', 'atau', 't', 'coatau', 'nlima', 'cekfenam', 'nlima', 'cekfenam', 'fr', 'pdiperjuangan']",0,0,ID3172,JAKARTA TIMUR,5.842105263157895,19
2021-08-14 14:44:56,Bendhardyonas,"Lenteng Agung, Jakarta","{'type': 'Point', 'coordinates': [106.80644, -6.25395]}","['vaksin', 'ke', 'done', 'vaksin', 'antibody', 'instalike', 'likempat', 'likes', 'likeforlike', 'di', 'smas', 'pangudi', 'luhur', 'jakarta', 'htps', 'atau', 'atau', 't', 'coatau', 'hqiajaonol', 'sama']",0,0,ID3172,JAKARTA TIMUR,5.571428571428571,21
2021-08-14 14:44:44,AhmadNorMaulana,"Jakarta Utara, DKI Jakarta",,"['warga', 'suku', 'baduy', 'sempat', 'positif', 'covid', 'sembilan', 'belas', 'usai', 'melahirkan', 'htps', 'atau', 'atau', 't', 'coatau', 'qmrenam', 'vhueg', 'htps', 'atau', 'atau', 't', 'coatau', 'qfcntiga', 'dcob']",0,0,ID3172,JAKARTA TIMUR,5.041666666666667,24
2021-08-14 14:44:24,detikcom,"Jakarta, Indonesia",,"['anies', 'mengatakan', 'kemenangan', 'melawan', 'corona', 'sudah', 'di', 'depan', 'mata', 'namun', 'dia', 'meminta', 'semua', 'pihak', 'tidak', 'terlena', 'dengan', 'htps', 'atau', 'atau', 't', 'coatau', 'mtujuh', 'sukbqtsembilan']",6,19,ID3172,JAKARTA TIMUR,5.666666666666667,24
2021-08-14 14:43:45,komang_yudi,Jakarta,,"['di', 'corona', 'kafirnw', 'di', 'agama', 'nusantara', 'terduga', 'teroris', 'memiliki', 'agama', 'kan']",0,0,ID3172,JAKARTA TIMUR,5.545454545454546,11
2021-08-14 14:43:00,Kota_Tangerang,Kota Tangerang,,"['tangerang', 'empat', 'belas', 'agustus', 'nol', 'nol', '1', 'kami', 'merujuk', 'pada', 'data', 'website', 'covidsembilan', 'belas', 'resmi', 'pemerintah', 'kota', 'tangerang', 'berdasarkan', 'data', 'htps', 'atau', 'atau', 't', 'coatau', 'omtiga', 'pfbnol', 'ys']",0,0,ID3172,JAKARTA TIMUR,5.464285714285714,28
2021-08-14 14:42:59,SINDOnews,"Jakarta Pusat, DKI Jakarta",,"['angota', 'komisi', 'xi', 'apresiasi', 'antusiasme', 'warga', 'kendal', 'sukseskan', 'vaksin', 'indonesia', 'bangkit', 'sindonews', 'htps', 'atau', 'atau', 't', 'coatau', 'lima', 'ymnuzempat', 'puluh', 'sembilan', 'e']",0,2,ID3172,JAKARTA TIMUR,5.954545454545454,22
2021-08-14 14:42:34,luckykoya,"DKI Jakarta, Indonesia",,"['di', 'bertanyarl', 'emak', 'bapak', 'saya', 'saja', 'mau', 'vaksin', 'ini', 'pas', 'saya', 'masih', 'tidak', 'setuju', 'buat', 'vaksin', 'saya', 'sudah', 'mikirin', 'harus', 'mempersiapkan', 'htps', 'atau', 'atau', 't', 'coatau', 'paeotjlztujuh', 'kamu']",0,0,ID3172,JAKARTA TIMUR,5.142857142857143,28
2021-08-14 14:42:28,contactap2,"Tangerang, Indonesia",,"['di', 'tamvandangbrani', 'bagi', 'penumpang', 'yang', 'belum', 'melakukan', 'vaksin', 'tetap', 'dapat', 'melakukan', 'penerbangan', 'dengan', 'melampirkan', 'h', 'htps', 'atau', 'atau', 't', 'coatau', 'rtujuh', 'bwdswij']",0,0,ID3172,JAKARTA TIMUR,6.090909090909091,22
2021-08-14 14:42:27,mporatne,"DKI Jakarta, Indonesia",,"['di', 'monicang', 'monicang', 'unik', 'ini', 'kata', 'arisan', 'covid', 'tetap', 'semangat', 'mematuhi', 'prokes']",0,0,ID3172,JAKARTA TIMUR,5.583333333333333,12
2021-08-14 14:42:20,contactap2,"Tangerang, Indonesia",,"['di', 'tamvandangbrani', 'halo', 'kak', 'dapat', 'kami', 'informasikan', 'untuk', 'sat', 'ini', 'fasilitas', 'vaksin', 'di', 'bandara', 'tjilik', 'riwut', 'tidak', 'ter', 'htps', 'atau', 'atau', 't', 'coatau', 'vxijyqsxnol', 'c']",0,0,ID3172,JAKARTA TIMUR,5.2,25
2021-08-14 14:41:38,jalan_pedang,Jakarta,,"['di', 'cobehsembilan', 'anjing', 'jejangan', 'mau', 'beli', 'pulsa', 'ke', 'konter', 'rumahan', 'pun', 'harus', 'pakai', 'sertifikat', 'vaksin', 'okelah', 'kalai', 'begitu']",0,0,ID3172,JAKARTA TIMUR,5.666666666666667,18
2021-08-14 14:41:07,AhmadNorMaulana,"Jakarta Utara, DKI Jakarta",,"['pasca', 'video', 'viral', 'polisi wanita', 'marahi', 'bhabinkamtibmas', 'pengendara', 'sudah', 'vaksin', 'bisa', 'melintas', 'akim', 'tvone', 'htps', 'atau', 'atau', 't', 'coatau', 'ioyubempat', 'puluh', 'lima', 'qzn']",0,0,ID3172,JAKARTA TIMUR,6.0,22
2021-08-14 14:40:48,TimIkrar,"DKI Jakarta, Indonesia",,"['inusa', 'meminta', 'polres', 'dan', 'petugas', 'covid', 'kabupaten', 'trengalek', 'tegas', 'dalam', 'penindakan', 'pelangaran', 'protokoler', 'kesehatan', 'covi', 'htps', 'atau', 'atau', 't', 'coatau', 'xgpsembilan', 'j', 'xgpsembilan', 'jherg']",0,0,ID3172,JAKARTA TIMUR,6.291666666666667,24
2021-08-14 14:40:28,senkompusat,Jakarta,,"['salam', 'pramuka', 'pengurus', 'pusat', 'senkom', 'mitra', 'polri', 'bersama', 'keluarga', 'besar', 'senkom', 'mitra', 'polri', 'mengucapkan', 'selamat', 'htps', 'atau', 'atau', 't', 'coatau', 'nol', 'ercgrqstw']",0,2,ID3172,JAKARTA TIMUR,5.7272727272727275,22
2021-08-14 14:40:00,dompetdhuafaorg,"Jakarta, Indonesia",,"['enam', 'sahabat', 'kami', 'butuh', 'kamu', 'untuk', 'membantu', 'dalam', 'penanganan', 'pasien', 'covid', 'sembilan', 'belas', 'cukupdarirumah', 'mari', 'sama', 'sama', 'wujud', 'htps', 'atau', 'atau', 't', 'coatau', 'gvmsembilan', 'yqcktujuh', 'p']",0,0,ID3172,JAKARTA TIMUR,5.653846153846154,26
2021-08-14 14:40:00,mediaindonesia,Jakarta - Indonesia,,"['dedi', 'menilai', 'kebijakan', 'tersebut', 'merupakan', 'upaya', 'menekan', 'penyebaran', 'pandemi', 'dengan', 'tidak', 'mengorbankan', 'putaran', 'roda', 'e', 'htps', 'atau', 'atau', 't', 'coatau', 'tsembilan', 'fatujuh', 'puluh', 'satu', 'xfbr']",0,2,ID3172,JAKARTA TIMUR,5.96,25
2021-08-14 14:39:24,Nirmaaa_,"Jakarta Selatan, DKI Jakarta",,"['belum', 'vaksin', 'htps', 'atau', 'atau', 't', 'coatau', 'wpcsatu', 'qp', 'wpcsatu', 'qpris']",0,0,ID3172,JAKARTA TIMUR,4.636363636363637,11
2021-08-14 14:38:44,hanibaikhati,Jakarta,,"['ingin', 'lho', 'ke', 'event', 'event', 'begini', 'kapan', 'sih', 'corona', 'sudah', 'hilang', 'begitu', 'htps', 'atau', 'atau', 't', 'coatau', 'biokxwsembilan', 'bcl']",0,1,ID3172,JAKARTA TIMUR,4.894736842105263,19
2021-08-14 14:37:47,davidpu68353534,Jakarta,,"['di', 'wajahsementara', 'di', 'monasamy', 'di', 'corona', 'kafirnw', 'di', 'isempat', 'btiga', 'lempat', 'a', 'di', 'cupangsawahtujuh', 'di', 'kafsatu', 'rzionsatu', 's', 'di', 'eksmuslim', 'di', 'hayuningratujuh', 'di', 'ingiecs', 'htps', 'atau', 'atau', 't', 'coatau', 'wvumjasatu', 'pdelapan', 'l']",0,2,ID3172,JAKARTA TIMUR,5.4375,32
2021-08-14 14:37:45,masAdi250886,"Tangerang, Indonesia",,"['di', 'nurmazhr', 'di', 'radenrauf', 'terima', 'kasih', 'nakes', 'selalu', 'berada', 'di', 'garda', 'terdepan', 'hadapi', 'covid', 'sembilan', 'belas']",0,0,ID3172,JAKARTA TIMUR,5.5,16
2021-08-14 14:37:11,davidpu68353534,Jakarta,,"['di', 'wajahsementara', 'di', 'kafsatu', 'rzionsatu', 's', 'di', 'monasamy', 'di', 'cupangsawahtujuh', 'di', 'eksmuslim', 'di', 'hayuningratujuh', 'di', 'ingiecs', 'di', 'vi', 'mae', 'di', 'kelincipetelur', 'htps', 'atau', 'atau', 't', 'coatau', 'mvwmewbwb']",0,1,ID3172,JAKARTA TIMUR,5.592592592592593,27
2021-08-14 14:36:59,yansuuu10,"DKI Jakarta, Indonesia",,"['masuk', 'mekdi', 'harus', 'vaksin']",0,0,ID3172,JAKARTA TIMUR,5.25,4
